type,name,res_id,src,value,fuzzy
error,calendar.calendar,0,A user can have only one calendar!,¡Un usuario puede tener a lo sumo un calendario!,0
error,calendar.calendar,0,The name of calendar must be unique!,¡El nombre del calendario es único!,0
error,calendar.category,0,The name of calendar category must be unique!,¡El nombre de la categoría de calendario debe ser único!,0
error,calendar.event,0,Recurrence can not be recurrent!,¡La repetición no puede repetirse!,0
error,calendar.event,0,UUID and recurrence must be unique in a calendar!,¡El UUID y la recurrencia deben ser únicos por calendario! ,0
error,calendar.event.exrule,0,"Invalid ""By Day""","Inválido ""Por Día""",0
error,calendar.event.exrule,0,"Invalid ""By Hour""","Inválido ""Por Hora""",0
error,calendar.event.exrule,0,"Invalid ""By Minute""","Inválido ""Por Minuto""",0
error,calendar.event.exrule,0,"Invalid ""By Month""","Inválido ""Por Mes""",0
error,calendar.event.exrule,0,"Invalid ""By Month Day""","Inválido ""Por Día del Mes""",0
error,calendar.event.exrule,0,"Invalid ""By Position""","Inválido ""Por Posición""",0
error,calendar.event.exrule,0,"Invalid ""By Second""","Inválido ""Por Segundo""",0
error,calendar.event.exrule,0,"Invalid ""By Week Number""","Inválido ""por Número de Semana""",0
error,calendar.event.exrule,0,"Invalid ""By Year Day""","Inválido ""por Día del Año""",0
error,calendar.event.exrule,0,"Only one of ""until"" and ""count"" can be set!","¡Solamente se puede establecer un ""hasta"" y un ""conteo""!",0
error,calendar.event.rrule,0,"Invalid ""By Day""","Inválido ""Por Día""",0
error,calendar.event.rrule,0,"Invalid ""By Hour""","Inválido ""Por Hora""",0
error,calendar.event.rrule,0,"Invalid ""By Minute""","Inválido ""Por Minuto""",0
error,calendar.event.rrule,0,"Invalid ""By Month""","Inválido ""Por Mes""",0
error,calendar.event.rrule,0,"Invalid ""By Month Day""","Inválido ""Por Día del Mes""",0
error,calendar.event.rrule,0,"Invalid ""By Position""","Inválido ""Por Posición""",0
error,calendar.event.rrule,0,"Invalid ""By Second""","Inválido ""Por Segundo""",0
error,calendar.event.rrule,0,"Invalid ""By Week Number""","Inválido ""por Número de Semana""",0
error,calendar.event.rrule,0,"Invalid ""By Year Day""","Inválido ""por Día del Año""",0
error,calendar.event.rrule,0,"Only one of ""until"" and ""count"" can be set!","¡Solamente se puede establecer un ""hasta"" y un ""conteo""!",0
error,calendar.location,0,The name of calendar location must be unique!,¡El nombre del lugar del calendario debe ser único!,0
field,"calendar.calendar,description",0,Description,Descripción,0
field,"calendar.calendar,name",0,Name,Nombre,0
field,"calendar.calendar,owner",0,Owner,Propietario,0
field,"calendar.calendar-read-res.user,calendar",0,Calendar,Calendario,0
field,"calendar.calendar-read-res.user,rec_name",0,Name,Nombre,0
field,"calendar.calendar-read-res.user,user",0,User,Usuario,0
field,"calendar.calendar,read_users",0,Read Users,Usuarios que pueden Leer,0
field,"calendar.calendar,rec_name",0,Name,Nombre,0
field,"calendar.calendar-write-res.user,calendar",0,Calendar,Calendario,0
field,"calendar.calendar-write-res.user,rec_name",0,Name,Nombre,0
field,"calendar.calendar-write-res.user,user",0,User,Usuario,0
field,"calendar.calendar,write_users",0,Write Users,Escribir Usuarios,0
field,"calendar.category,name",0,Name,Nombre,0
field,"calendar.category,rec_name",0,Name,Nombre,0
field,"calendar.event.alarm,event",0,Event,Evento,0
field,"calendar.event.alarm,rec_name",0,Name,Nombre,0
field,"calendar.event,alarms",0,Alarms,Alarmas,0
field,"calendar.event.alarm,valarm",0,valarm,valarma,0
field,"calendar.event,all_day",0,All Day,Todo el Día,0
field,"calendar.event.attendee,attendee",0,attendee,asistente,0
field,"calendar.event.attendee,email",0,Email,Correo Electrónico,0
field,"calendar.event.attendee,event",0,Event,Evento,0
field,"calendar.event.attendee,rec_name",0,Name,Nombre,0
field,"calendar.event,attendees",0,Attendees,Asistentes,0
field,"calendar.event.attendee,status",0,Participation Status,Estado de Participación,0
field,"calendar.event,calendar",0,Calendar,Calendario,0
field,"calendar.event-calendar.category,category",0,Category,Categoría,0
field,"calendar.event-calendar.category,event",0,Event,Evento,0
field,"calendar.event-calendar.category,rec_name",0,Name,Nombre,0
field,"calendar.event,calendar_owner",0,Owner,Propietario,0
